year,month,decimal_year,average,deseasonalized,days,daily_std,monthly_unc,month_id,quality
2000,2,2000.125,369.71,368.99,19,0.48,0.21,24001,reported
2000,3,2000.2083,370.75,369.24,30,0.47,0.16,24002,reported
2000,4,2000.2917,371.98,369.44,27,0.58,0.21,24003,reported
2000,5,2000.375,371.75,368.87,28,0.53,0.19,24004,reported
2000,6,2000.4583,371.87,369.66,28,0.24,0.09,24005,reported
2000,7,2000.5417,370.02,369.36,25,0.31,0.12,24006,reported
2000,8,2000.625,368.27,369.87,27,0.42,0.15,24007,reported
2000,9,2000.7083,367.15,370.46,25,0.36,0.14,24008,reported
2000,10,2000.7917,367.18,370.42,30,0.27,0.09,24009,reported
2000,11,2000.875,368.53,370.48,25,0.3,0.12,24010,reported
2000,12,2000.9583,369.83,370.46,30,0.38,0.13,24011,reported
2001,1,2001.0417,370.76,370.6,30,0.56,0.2,24012,reported
2001,2,2001.125,371.69,370.95,26,0.61,0.23,24013,reported
2001,3,2001.2083,372.63,371.06,26,0.46,0.17,24014,reported
2001,4,2001.2917,373.55,370.99,29,0.56,0.2,24015,reported
2001,5,2001.375,374.03,371.11,24,0.41,0.16,24016,reported
2001,6,2001.4583,373.4,371.18,26,0.37,0.14,24017,reported
2001,7,2001.5417,371.68,371.08,25,0.62,0.24,24018,reported
2001,8,2001.625,369.78,371.39,27,0.6,0.22,24019,reported
2001,9,2001.7083,368.34,371.61,28,0.49,0.18,24020,reported
2001,10,2001.7917,368.61,371.85,31,0.33,0.11,24021,reported
2001,11,2001.875,369.94,371.92,24,0.24,0.09,24022,reported
2001,12,2001.9583,371.42,372.09,29,0.4,0.14,24023,reported
2002,1,2002.0417,372.7,372.48,28,0.52,0.19,24024,reported
2002,2,2002.125,373.37,372.49,28,0.66,0.24,24025,reported
2002,3,2002.2083,374.3,372.61,24,0.62,0.24,24026,reported
2002,4,2002.2917,375.19,372.54,29,0.55,0.19,24027,reported
2002,5,2002.375,375.93,372.98,29,0.57,0.2,24028,reported
2002,6,2002.4583,375.69,373.46,28,0.46,0.17,24029,reported
2002,7,2002.5417,374.16,373.58,25,0.47,0.18,24030,reported
2002,8,2002.625,372.03,373.7,28,0.65,0.24,24031,reported
2002,9,2002.7083,370.92,374.28,23,0.74,0.3,24032,reported
2002,10,2002.7917,370.73,374.06,31,0.62,0.21,24033,reported
2002,11,2002.875,372.43,374.52,29,0.43,0.15,24034,reported
2002,12,2002.9583,373.98,374.72,31,0.46,0.16,24035,reported
2003,1,2003.0417,375.07,374.82,30,0.51,0.18,24036,reported
2003,2,2003.125,375.82,374.95,27,0.58,0.21,24037,reported
2003,3,2003.2083,376.64,374.99,28,0.63,0.23,24038,reported
2003,4,2003.2917,377.92,375.24,27,0.37,0.14,24039,reported
2003,5,2003.375,378.78,375.73,30,0.78,0.27,24040,reported
2003,6,2003.4583,378.46,376.22,25,0.39,0.15,24041,reported
2003,7,2003.5417,376.88,376.37,29,0.7,0.25,24042,reported
2003,8,2003.625,374.57,376.27,23,0.57,0.23,24043,reported
2003,9,2003.7083,373.34,376.65,25,0.37,0.14,24044,reported
2003,10,2003.7917,373.31,376.65,30,0.33,0.12,24045,reported
2003,11,2003.875,374.84,376.99,26,0.45,0.17,24046,reported
2003,12,2003.9583,376.17,376.93,27,0.4,0.15,24047,reported
2004,1,2004.0417,377.17,376.96,30,0.45,0.16,24048,reported
2004,2,2004.125,378.05,377.19,29,0.74,0.26,24049,reported
2004,3,2004.2083,379.06,377.4,27,0.84,0.31,24050,reported
2004,4,2004.2917,380.54,377.8,26,0.52,0.19,24051,reported
2004,5,2004.375,380.8,377.66,28,0.61,0.22,24052,reported
2004,6,2004.4583,379.87,377.57,21,0.47,0.19,24053,reported
2004,7,2004.5417,377.65,377.12,25,0.5,0.19,24054,reported
2004,8,2004.625,376.17,377.9,16,0.45,0.21,24055,reported
2004,9,2004.7083,374.43,377.8,15,0.56,0.28,24056,reported
2004,10,2004.7917,374.63,377.99,29,0.19,0.07,24057,reported
2004,11,2004.875,376.33,378.49,29,0.62,0.22,24058,reported
2004,12,2004.9583,377.68,378.48,30,0.29,0.1,24059,reported
2005,1,2005.0417,378.63,378.37,31,0.32,0.11,24060,reported
2005,2,2005.125,379.91,379.1,24,0.6,0.24,24061,reported
2005,3,2005.2083,380.95,379.45,26,1.16,0.44,24062,reported
2005,4,2005.2917,382.48,379.84,26,0.53,0.2,24063,reported
2005,5,2005.375,382.64,379.49,31,0.61,0.21,24064,reported
2005,6,2005.4583,382.4,380.07,28,0.21,0.08,24065,reported
2005,7,2005.5417,380.93,380.38,29,0.38,0.13,24066,reported
2005,8,2005.625,378.93,380.61,26,0.53,0.2,24067,reported
2005,9,2005.7083,376.89,380.2,27,0.51,0.19,24068,reported
2005,10,2005.7917,377.19,380.5,14,0.15,0.08,24069,reported
2005,11,2005.875,378.54,380.69,23,0.45,0.18,24070,reported
2005,12,2005.9583,380.31,381.09,26,0.39,0.15,24071,reported
2006,1,2006.0417,381.58,381.33,24,0.31,0.12,24072,reported
2006,2,2006.125,382.4,381.58,25,0.51,0.2,24073,reported
2006,3,2006.2083,382.86,381.32,29,0.55,0.2,24074,reported
2006,4,2006.2917,384.8,382.11,25,0.49,0.19,24075,reported
2006,5,2006.375,385.22,382.06,24,0.45,0.17,24076,reported
2006,6,2006.4583,384.24,381.93,28,0.43,0.16,24077,reported
2006,7,2006.5417,382.65,382.1,24,0.32,0.12,24078,reported
2006,8,2006.625,380.6,382.27,27,0.47,0.17,24079,reported
2006,9,2006.7083,379.04,382.35,25,0.42,0.16,24080,reported
2006,10,2006.7917,379.33,382.66,23,0.4,0.16,24081,reported
2006,11,2006.875,380.35,382.52,29,0.39,0.14,24082,reported
2006,12,2006.9583,382.02,382.84,27,0.38,0.14,24083,reported
2007,1,2007.0417,383.1,382.88,24,0.76,0.3,24084,reported
2007,2,2007.125,384.12,383.22,21,0.81,0.34,24085,reported
2007,3,2007.2083,384.81,383.17,27,0.63,0.23,24086,reported
2007,4,2007.2917,386.73,383.95,25,0.76,0.29,24087,reported
2007,5,2007.375,386.78,383.56,29,0.64,0.23,24088,reported
2007,6,2007.4583,386.33,384.06,26,0.42,0.16,24089,reported
2007,7,2007.5417,384.73,384.25,27,0.44,0.16,24090,reported
2007,8,2007.625,382.24,383.95,22,0.64,0.26,24091,reported
2007,9,2007.7083,381.2,384.56,21,0.45,0.19,24092,reported
2007,10,2007.7917,381.37,384.72,29,0.19,0.07,24093,reported
2007,11,2007.875,382.7,384.9,30,0.31,0.11,24094,reported
2007,12,2007.9583,384.19,385.07,22,0.34,0.14,24095,reported
2008,1,2008.0417,385.78,385.54,31,0.56,0.19,24096,reported
2008,2,2008.125,386.06,385.2,26,0.58,0.22,24097,reported
2008,3,2008.2083,386.28,384.72,30,0.6,0.21,24098,reported
2008,4,2008.2917,387.33,384.71,22,1.19,0.49,24099,reported
2008,5,2008.375,388.78,385.69,25,0.57,0.22,24100,reported
2008,6,2008.4583,387.99,385.68,23,0.49,0.2,24101,reported
2008,7,2008.5417,386.62,386.05,10,0.96,0.58,24102,reported
2008,8,2008.625,384.32,385.98,25,0.66,0.25,24103,reported
2008,9,2008.7083,383.41,386.69,27,0.34,0.12,24104,reported
2008,10,2008.7917,383.22,386.5,23,0.27,0.11,24105,reported
2008,11,2008.875,384.41,386.58,28,0.29,0.11,24106,reported
2008,12,2008.9583,385.79,386.64,29,0.27,0.1,24107,reported
2009,1,2009.0417,387.17,386.86,30,0.38,0.13,24108,reported
2009,2,2009.125,387.7,386.81,26,0.49,0.18,24109,reported
2009,3,2009.2083,389.04,387.54,28,0.68,0.25,24110,reported
2009,4,2009.2917,389.76,387.15,29,0.85,0.3,24111,reported
2009,5,2009.375,390.36,387.24,30,0.51,0.18,24112,reported
2009,6,2009.4583,389.7,387.46,29,0.6,0.21,24113,reported
2009,7,2009.5417,388.24,387.77,22,0.31,0.13,24114,reported
